FAST,FEATURE,MODE,SLOW,accuracy,ap,auroc,base_rate,f1,threshold
0.6,entropy,area,0.02,0.6569872958257713,0.3767830355877636,0.6916777068529447,0.20689655172413793,0.43582089552238806,3.2891203442574444
0.6,entropy,area,0.05,0.7368421052631579,0.3977110260936898,0.710385804327753,0.20689655172413793,0.4528301886792453,5.501443859868544
0.6,entropy,area,0.1,0.6932849364791288,0.41490957034254167,0.7215865751334859,0.20689655172413793,0.4735202492211838,3.4986291843357784
0.6,entropy,area,0.2,0.6969147005444646,0.41681090935466036,0.7277891525151552,0.20689655172413793,0.4797507788161994,2.5766479695200606
0.6,entropy,area,0.3,0.676950998185118,0.4157710338950708,0.7291741940664017,0.20689655172413793,0.4764705882352941,1.6924782620085348
0.6,surprisal,max_gap,0.02,0.6460980036297641,0.3377677447540677,0.6766128708498936,0.20689655172413793,0.43478260869565216,1.5912725130327365
0.6,surprisal,max_gap,0.05,0.6370235934664247,0.34507332119297174,0.6888474045525713,0.20689655172413793,0.441340782122905,1.4236366306931636
0.6,surprisal,max_gap,0.1,0.6497277676950998,0.3484282694201625,0.6935344654542535,0.20689655172413793,0.4469914040114613,1.3645408142553763
0.6,surprisal,max_gap,0.2,0.6388384754990926,0.3436848043831145,0.6934842827893533,0.20689655172413793,0.4487534626038781,1.031147755704574
0.6,surprisal,max_gap,0.3,0.6805807622504537,0.3406472474190294,0.6907744188847404,0.20689655172413793,0.44654088050314467,0.9202168181752122
0.6,surprisal,area,0.02,0.6388384754990926,0.37812697681645596,0.6850435585531334,0.20689655172413793,0.4425770308123249,4.802736667326229
0.6,surprisal,area,0.05,0.6515426497277677,0.39285448276722373,0.7033200851097997,0.20689655172413793,0.4606741573033708,4.56954003289956
0.6,surprisal,area,0.1,0.691470054446461,0.39997648684036846,0.7138684812718294,0.20689655172413793,0.47530864197530864,4.666129613088361
0.6,surprisal,area,0.2,0.6932849364791288,0.40254697383112037,0.7192380264161548,0.20689655172413793,0.48942598187311176,3.3044967537141283
0.6,surprisal,area,0.3,0.6878402903811253,0.4025827693975234,0.7189369304267533,0.20689655172413793,0.48502994011976047,2.3706425179069255
0.8,entropy,max_gap,0.02,0.6642468239564429,0.3480792931096344,0.6800955477939701,0.20689655172413793,0.4236760124610592,0.9860450015075147
0.8,entropy,max_gap,0.05,0.6569872958257713,0.37103566638795976,0.7012525593159099,0.20689655172413793,0.43582089552238806,0.9356332135525345
0.8,entropy,max_gap,0.1,0.7313974591651543,0.371721957932324,0.7113493114938376,0.20689655172413793,0.45588235294117646,1.0175881865143037
0.8,entropy,max_gap,0.2,0.676950998185118,0.3737020548623441,0.7175117427435866,0.20689655172413793,0.46060606060606063,0.7872915782824814
0.8,entropy,max_gap,0.3,0.6805807622504537,0.36887118720472545,0.7190975149544342,0.20689655172413793,0.46987951807228917,0.6449469331782887
0.8,entropy,area,0.02,0.631578947368421,0.3827792178346859,0.7011923401180297,0.20689655172413793,0.44077134986225897,3.4054303851073127
0.8,entropy,area,0.05,0.6733212341197822,0.40363837630607274,0.7165683086434622,0.20689655172413793,0.4642857142857143,4.275000719567269
0.8,entropy,area,0.1,0.6987295825771325,0.41538007027030566,0.7241157814444579,0.20689655172413793,0.4713375796178344,4.598087510875747
0.8,entropy,area,0.2,0.6515426497277677,0.41483714344996764,0.7274479103938336,0.20689655172413793,0.4782608695652174,2.7341021926631557
0.8,entropy,area,0.3,0.6515426497277677,0.4113894400823522,0.7276687141193946,0.20689655172413793,0.4782608695652174,2.228115905278841
0.8,surprisal,max_gap,0.02,0.5970961887477314,0.3365742609554855,0.6810189088281344,0.20689655172413793,0.4365482233502538,1.632505509880072
0.8,surprisal,max_gap,0.05,0.6098003629764065,0.34429339486350524,0.6899915693122968,0.20689655172413793,0.44155844155844154,1.654164801436384
0.8,surprisal,max_gap,0.1,0.6787658802177858,0.3445151792171861,0.6922899353647276,0.20689655172413793,0.445141065830721,2.144258322164479
0.8,surprisal,max_gap,0.2,0.5970961887477314,0.3415341549089201,0.6906138343570597,0.20689655172413793,0.44221105527638194,1.2802297036646448
0.8,surprisal,max_gap,0.3,0.6152450090744102,0.33799842426666554,0.688987916014292,0.20689655172413793,0.43915343915343913,1.1624151017595796
0.8,surprisal,area,0.02,0.6660617059891107,0.38449156270126544,0.6941466939660363,0.20689655172413793,0.4523809523809524,6.508854536343731
0.8,surprisal,area,0.05,0.6878402903811253,0.3987906947070316,0.7075755750933398,0.20689655172413793,0.4691358024691358,6.505573012127352
