ALPHA,FEATURE,FLOOR,MIX,accuracy,ap,auroc,base_rate,f1,threshold
0.2,surprisal,0.5,0.0,0.7168784029038112,0.4095808480961858,0.7042835922758842,0.20689655172413793,0.4583333333333333,0.19192531097745283
0.2,surprisal,0.5,0.25,0.720508166969147,0.38005781401262323,0.702978842988478,0.20689655172413793,0.45390070921985815,0.43018472681090164
0.2,surprisal,0.5,0.5,0.6950998185117967,0.35434443849741054,0.6937653057127946,0.20689655172413793,0.4473684210526316,0.5870424014380419
0.2,surprisal,0.5,0.75,0.588021778584392,0.3344004662468448,0.684752499096712,0.20689655172413793,0.43672456575682383,0.4889088597664126
0.2,surprisal,0.5,1.0,0.5607985480943739,0.3263632154637651,0.6776667068127986,0.20689655172413793,0.42924528301886794,0.5186578702926636
0.2,surprisal,1.0,0.0,0.7150635208711433,0.39535642821217537,0.6946685936809989,0.20689655172413793,0.4641638225255973,0.10594498357575144
0.2,surprisal,1.0,0.25,0.7223230490018149,0.3653550058983486,0.6968766309366092,0.20689655172413793,0.45161290322580644,0.31569149903042204
0.2,surprisal,1.0,0.5,0.6460980036297641,0.3430095378362205,0.6896302541250151,0.20689655172413793,0.43804034582132567,0.33005269312538843
0.2,surprisal,1.0,0.75,0.6007259528130672,0.33146768339401794,0.6841302340519491,0.20689655172413793,0.4358974358974359,0.35066809077953554
0.2,surprisal,1.0,1.0,0.6061705989110708,0.32566311363149236,0.6798345979364888,0.20689655172413793,0.43636363636363634,0.4479113674163818
0.35,entropy,0.0,0.0,0.8148820326678766,0.5002939607847909,0.7700630294271147,0.20689655172413793,0.5446428571428571,0.6177791963564601
0.35,entropy,0.0,0.25,0.7513611615245009,0.5084183348393632,0.7834116182905777,0.20689655172413793,0.535593220338983,0.5901301421903569
0.35,entropy,0.0,0.5,0.7259528130671506,0.4931895774554873,0.7759243646874624,0.20689655172413793,0.5325077399380805,0.6990057014361006
0.35,entropy,0.0,0.75,0.73502722323049,0.4474183462424702,0.7570356096190132,0.20689655172413793,0.5133333333333333,0.9189137541903575
0.35,entropy,0.0,1.0,0.7132486388384754,0.40600883352212125,0.7357180135693926,0.20689655172413793,0.5,1.032955802006736
0.35,entropy,0.5,0.0,0.8058076225045372,0.5069937988646214,0.7783632422016139,0.20689655172413793,0.5367965367965368,0.286876794878157
0.35,entropy,0.5,0.25,0.7568058076225045,0.5111411225260576,0.7887008711710627,0.20689655172413793,0.541095890410959,0.29612997125919316
0.35,entropy,0.5,0.5,0.7803992740471869,0.4869335645250211,0.7764362278694448,0.20689655172413793,0.5291828793774319,0.4834733345759042
0.35,entropy,0.5,0.75,0.7186932849364791,0.4455212711715889,0.7587719298245614,0.20689655172413793,0.5171339563862928,0.47392042824381564
0.35,entropy,0.5,1.0,0.7241379310344828,0.4100828302203234,0.7418302621542414,0.20689655172413793,0.5064935064935064,0.6291487946361576
0.35,entropy,1.0,0.0,0.8021778584392014,0.4848012629802484,0.7619535107792365,0.20689655172413793,0.5198237885462555,0.09166921822770141
0.35,entropy,1.0,0.25,0.7731397459165155,0.48731398519551233,0.7726123088040467,0.20689655172413793,0.5353159851301115,0.13443630916388896
0.35,entropy,1.0,0.5,0.7386569872958257,0.46200401988344447,0.7625557027580393,0.20689655172413793,0.5135135135135135,0.17631514991146358
0.35,entropy,1.0,0.75,0.7277676950998185,0.42908627506307384,0.7509735436990645,0.20689655172413793,0.5161290322580645,0.21688854154312748
0.35,entropy,1.0,1.0,0.7277676950998185,0.40420440977256056,0.7420811754787426,0.20689655172413793,0.5098039215686274,0.2828287984182959
0.35,surprisal,0.0,0.0,0.6406533575317604,0.4224585015005832,0.7293749247260026,0.20689655172413793,0.45901639344262296,0.21061392351180108
0.35,surprisal,0.0,0.25,0.6497277676950998,0.41930682360760485,0.7206431410333615,0.20689655172413793,0.46831955922865015,0.5333386102423117
0.35,surprisal,0.0,0.5,0.6406533575317604,0.37121008524007476,0.7042033000120438,0.20689655172413793,0.45,0.8622398867407954
0.35,surprisal,0.0,0.75,0.6787658802177858,0.34556685519988894,0.6906941266209001,0.20689655172413793,0.4416403785488959,1.3163141943651677
0.35,surprisal,0.0,1.0,0.588021778584392,0.3304868242204493,0.6793327712874865,0.20689655172413793,0.43672456575682383,1.1720858477889722
0.35,surprisal,0.5,0.0,0.6206896551724138,0.3928461688379532,0.6986631338070577,0.20689655172413793,0.43967828418230565,0.050211026230228606
0.35,surprisal,0.5,0.25,0.6860254083484574,0.39401341579155136,0.7019350435585532,0.20689655172413793,0.4507936507936508,0.4496879633159942
0.35,surprisal,0.5,0.5,0.6279491833030852,0.35953475523983114,0.6930226022722711,0.20689655172413793,0.4444444444444444,0.5846797258015055
0.35,surprisal,0.5,0.75,0.6061705989110708,0.3402796745052262,0.6846521337669116,0.20689655172413793,0.442159383033419,0.7433659794311912
0.35,surprisal,0.5,1.0,0.5934664246823956,0.33069529593406866,0.6783491910554418,0.20689655172413793,0.4371859296482412,0.8798790695195481
0.35,surprisal,1.0,0.0,0.6660617059891107,0.3718190719267029,0.6796338672768879,0.20689655172413793,0.43209876543209874,0.03781912656605025
0.35,surprisal,1.0,0.25,0.6950998185117967,0.37395939216114654,0.6928620177445903,0.20689655172413793,0.44370860927152317,0.3610440749236878
0.35,surprisal,1.0,0.5,0.6025408348457351,0.34660034723249494,0.6875627283311253,0.20689655172413793,0.4370179948586118,0.3794299346804618
0.35,surprisal,1.0,0.75,0.5898366606170599,0.33776540619236284,0.6835882612710266,0.20689655172413793,0.435,0.4855220760925397
0.35,surprisal,1.0,1.0,0.5825771324863884,0.33197894135195805,0.6803163515195311,0.20689655172413793,0.4362745098039216,0.5702075155062352
0.5,entropy,0.0,0.0,0.809437386569873,0.49548283052937886,0.7620338030430768,0.20689655172413793,0.5333333333333333,0.6401382632979675
0.5,entropy,0.0,0.25,0.7985480943738656,0.5030364790276441,0.7818860652776105,0.20689655172413793,0.5542168674698795,0.7619586482339625
0.5,entropy,0.0,0.5,0.7386569872958257,0.4846298421512445,0.7786543016580353,0.20689655172413793,0.5263157894736842,0.8384624498893596
0.5,entropy,0.0,0.75,0.705989110707804,0.44412316902736304,0.7624553374282388,0.20689655172413793,0.5120481927710844,0.9405953435224466
0.5,entropy,0.0,1.0,0.7477313974591652,0.4011117781894779,0.7397526998273717,0.20689655172413793,0.49454545454545457,1.2966504324214574
0.5,entropy,0.5,0.0,0.7658802177858439,0.49541012317021643,0.7701734312898952,0.20689655172413793,0.5204460966542751,0.2366032949514246
0.5,entropy,0.5,0.25,0.8039927404718693,0.5037856514648391,0.7858705688706893,0.20689655172413793,0.5462184873949579,0.4390775079377892
0.5,entropy,0.5,0.5,0.764065335753176,0.4812544534321923,0.7776205387610904,0.20689655172413793,0.5289855072463768,0.5242564731237265
