FEATURE,NORM,THRESHOLD,WEIGHTED,accuracy,ap,auroc,base_rate,f1,threshold
entropy,none,4.5,False,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,none,4.5,True,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,none,4.75,False,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,none,4.75,True,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,none,5.0,False,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,none,5.0,True,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,none,5.25,False,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,none,5.25,True,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,none,5.5,False,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,none,5.5,True,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,none,5.75,False,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,none,5.75,True,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,none,6.0,False,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,none,6.0,True,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,sqrt,0.5,False,0.7422867513611615,0.4141351893783908,0.7374643703079208,0.20689655172413793,0.5069444444444444,2.137186834969645
entropy,sqrt,0.5,True,0.7513611615245009,0.4570364739328863,0.763750050182665,0.20689655172413793,0.5259515570934256,1.0422654024180615
entropy,sqrt,0.75,False,0.720508166969147,0.4481461901511634,0.7585711991649604,0.20689655172413793,0.5126582278481012,1.25
entropy,sqrt,0.75,True,0.7041742286751361,0.4644922029352983,0.7672528001927015,0.20689655172413793,0.5191740412979351,0.4274581841781939
entropy,sqrt,1.0,False,0.73502722323049,0.45097374184880157,0.7556907141996868,0.20689655172413793,0.5165562913907285,0.8017837257372732
entropy,sqrt,1.0,True,0.7459165154264973,0.45671125394324147,0.7611706612067928,0.20689655172413793,0.527027027027027,0.29587385410602446
entropy,sqrt,1.25,False,0.764065335753176,0.4536626685371624,0.758892368220322,0.20689655172413793,0.5185185185185185,0.6246950475544243
entropy,sqrt,1.25,True,0.7604355716878403,0.45193135867174106,0.7557710064635272,0.20689655172413793,0.5251798561151079,0.1640037528918188
entropy,sqrt,1.5,False,0.7586206896551724,0.4374177898987022,0.7393110923762496,0.20689655172413793,0.5092250922509225,0.28005601680560194
entropy,sqrt,1.5,True,0.7441016333938294,0.4376895027598786,0.7407362800594163,0.20689655172413793,0.5187713310580204,0.05060546389931133
entropy,sqrt,1.75,False,0.7477313974591652,0.39603487857602016,0.7097635392829901,0.20689655172413793,0.4981949458483754,0.15249857033260467
entropy,sqrt,1.75,True,0.7477313974591652,0.4028575268298884,0.7094825163595487,0.20689655172413793,0.4981949458483754,0.0067959496005204675
entropy,sqrt,2.0,False,0.7767695099818511,0.3435705248501279,0.6490023686217833,0.20689655172413793,0.43317972350230416,0.14586499149789456
entropy,sqrt,2.0,True,0.764065335753176,0.334194987899434,0.6483198843791401,0.20689655172413793,0.43478260869565216,0.002668459586222525
entropy,sqrt,2.25,False,0.20689655172413793,0.2539143513628766,0.5876891886466739,0.20689655172413793,0.34285714285714286,0.0
entropy,sqrt,2.25,True,0.20689655172413793,0.23740932606693962,0.5869565217391305,0.20689655172413793,0.34285714285714286,0.0
entropy,sqrt,2.5,False,0.20689655172413793,0.12250789421783087,0.5076076919988759,0.20689655172413793,0.34285714285714286,0.0
entropy,sqrt,2.5,True,0.20689655172413793,0.12250789421783087,0.5076076919988759,0.20689655172413793,0.34285714285714286,0.0
entropy,sqrt,2.75,False,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,sqrt,2.75,True,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,sqrt,3.0,False,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,sqrt,3.0,True,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,sqrt,3.25,False,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,sqrt,3.25,True,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,sqrt,3.5,False,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,sqrt,3.5,True,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,sqrt,3.75,False,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,sqrt,3.75,True,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,sqrt,4.0,False,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,sqrt,4.0,True,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
