ALPHA,FEATURE,FLOOR,MIN_OBS,MODE,N,accuracy,ap,auroc,base_rate,f1,threshold
0.2,surprisal,1.0,2,max,5,0.6134301270417423,0.34413958980841386,0.6971175077281304,0.20689655172413793,0.44386422976501305,2.5841007232666016
0.2,surprisal,1.0,2,max,10,0.6569872958257713,0.3366263031761275,0.6958328315066843,0.20689655172413793,0.4489795918367347,3.0026168823242188
0.2,surprisal,1.0,2,ewma_final,3,0.6388384754990926,0.44238730909531054,0.7372636396483199,0.20689655172413793,0.4636118598382749,0.23187475423223908
0.2,surprisal,1.0,2,ewma_final,5,0.7731397459165155,0.4447595008922231,0.738126781484604,0.20689655172413793,0.46808510638297873,0.48771908670891884
0.2,surprisal,1.0,2,ewma_final,10,0.7767695099818511,0.42654446954781666,0.7354570637119113,0.20689655172413793,0.4675324675324675,0.49300268423003746
0.2,surprisal,1.0,2,ewma_max,3,0.6533575317604355,0.39145493784408253,0.7178329117989481,0.20689655172413793,0.4767123287671233,0.8124189659149013
0.2,surprisal,1.0,2,ewma_max,5,0.6551724137931034,0.3896608483739752,0.7189770765586736,0.20689655172413793,0.47802197802197804,0.8320094535217466
0.2,surprisal,1.0,2,ewma_max,10,0.6588021778584392,0.3785809674076676,0.7165883817094223,0.20689655172413793,0.48066298342541436,0.8320094535217466
0.35,entropy,0.25,2,max,3,0.6515426497277677,0.3630983186503445,0.6935244289212734,0.20689655172413793,0.4418604651162791,5.267066289110915
0.35,entropy,0.25,2,max,5,0.6098003629764065,0.3246851766775376,0.6645991408727769,0.20689655172413793,0.42048517520215634,4.846388851120652
0.35,entropy,0.25,2,max,10,0.5226860254083484,0.31543415292309784,0.6502468987113091,0.20689655172413793,0.4036281179138322,4.222375627206149
0.35,entropy,0.25,2,ewma_final,3,0.6152450090744102,0.3780565004486315,0.698924083664539,0.20689655172413793,0.45077720207253885,0.9873573941698202
0.35,entropy,0.25,2,ewma_final,5,0.6460980036297641,0.350137343676882,0.6914368300614235,0.20689655172413793,0.4568245125348189,1.005942121626349
0.35,entropy,0.25,2,ewma_final,10,0.6588021778584392,0.3454024849008746,0.6762013729977117,0.20689655172413793,0.4303030303030303,1.0339573168760299
0.35,entropy,0.25,2,ewma_max,3,0.6297640653357531,0.3672472053015103,0.7018547512947128,0.20689655172413793,0.45161290322580644,2.204460714750554
0.35,entropy,0.25,2,ewma_max,5,0.604355716878403,0.3316241749062934,0.6867999518246417,0.20689655172413793,0.4263157894736842,2.2672927885200465
0.35,entropy,0.25,2,ewma_max,10,0.6098003629764065,0.3599938385237922,0.6895098157292545,0.20689655172413793,0.43271767810026385,2.303450544060881
0.35,entropy,0.5,2,max,3,0.7459165154264973,0.38698330712156076,0.727969810108796,0.20689655172413793,0.4696969696969697,3.3654041116635858
0.35,entropy,0.5,2,max,5,0.7096188747731398,0.39248787702557025,0.7393311654422097,0.20689655172413793,0.4805194805194805,3.1659088118514553
0.35,entropy,0.5,2,max,10,0.7422867513611615,0.39910827840412555,0.7395519691677707,0.20689655172413793,0.5,3.294925740698293
0.35,entropy,0.5,2,ewma_final,3,0.7767695099818511,0.4604340375843704,0.7608896382833514,0.20689655172413793,0.525096525096525,0.9373626784054657
0.35,entropy,0.5,2,ewma_final,5,0.7749546279491834,0.43753843075649884,0.7573367056084146,0.20689655172413793,0.504,0.9433071980984538
0.35,entropy,0.5,2,ewma_final,10,0.8039927404718693,0.4533957586586214,0.7532618732185153,0.20689655172413793,0.5045871559633027,1.0224324596408076
0.35,entropy,0.5,2,ewma_max,3,0.6751361161524501,0.3792054066590912,0.7384479505399655,0.20689655172413793,0.49577464788732395,1.4644985529781385
0.35,entropy,0.5,2,ewma_max,5,0.7404718693284936,0.4289251461014147,0.7520173431289895,0.20689655172413793,0.5051903114186851,1.7182878352710937
0.35,entropy,0.5,2,ewma_max,10,0.7441016333938294,0.42011227764954623,0.7433056325023084,0.20689655172413793,0.4946236559139785,1.8779241698676326
0.35,entropy,1.0,2,max,3,0.7259528130671506,0.4251645525067471,0.7514954434140271,0.20689655172413793,0.511326860841424,1.6803809282545792
0.35,entropy,1.0,2,max,5,0.7241379310344828,0.42857316116657523,0.7516359548757477,0.20689655172413793,0.5096774193548387,1.6827020558317929
0.35,entropy,1.0,2,max,10,0.7241379310344828,0.4225073092990392,0.7503914247862219,0.20689655172413793,0.5096774193548387,1.6827020558317929
0.35,entropy,1.0,2,ewma_final,3,0.8203266787658802,0.4934566226020609,0.7714882171102814,0.20689655172413793,0.5520361990950227,0.6141883910260806
0.35,entropy,1.0,2,ewma_final,5,0.8185117967332124,0.48615134860228915,0.771407924846441,0.20689655172413793,0.5495495495495496,0.6141883910260806
0.35,entropy,1.0,2,ewma_final,10,0.8166969147005445,0.4799224718811916,0.7708258059335983,0.20689655172413793,0.547085201793722,0.6141883910260806
0.35,entropy,1.0,2,ewma_max,3,0.7441016333938294,0.4196723251919005,0.7488457987072945,0.20689655172413793,0.5187713310580204,0.9738133255495576
0.35,entropy,1.0,2,ewma_max,5,0.7586206896551724,0.4119177753709455,0.7498293789393392,0.20689655172413793,0.5266903914590747,1.0442311785893164
0.35,entropy,1.0,2,ewma_max,10,0.7586206896551724,0.42986468572026015,0.7532016540206351,0.20689655172413793,0.5266903914590747,1.0442311785893164
0.35,surprisal,0.25,2,max,3,0.5698729582577132,0.28371587453432956,0.6605042354169176,0.20689655172413793,0.42891566265060244,7.264200210571289
0.35,surprisal,0.25,2,max,5,0.5226860254083484,0.27335540211163856,0.6468946966959733,0.20689655172413793,0.4194260485651214,6.28169059753418
0.35,surprisal,0.25,2,max,10,0.5716878402903811,0.30242536369192885,0.6603235778232768,0.20689655172413793,0.42718446601941745,7.428357124328613
0.35,surprisal,0.25,2,ewma_final,3,0.6497277676950998,0.3427446712018809,0.706973383114537,0.20689655172413793,0.4712328767123288,0.6579776588858686
0.35,surprisal,0.25,2,ewma_final,5,0.6243194192377496,0.3372763220305179,0.7012324862499498,0.20689655172413793,0.46786632390745503,0.5438052026586173
0.35,surprisal,0.25,2,ewma_final,10,0.6297640653357531,0.2948282753436065,0.6641173872897347,0.20689655172413793,0.43333333333333335,0.5627004962042437
0.35,surprisal,0.25,2,ewma_max,3,0.5499092558983666,0.29123495219887846,0.6709823758480871,0.20689655172413793,0.43119266055045874,2.7214337616032327
0.35,surprisal,0.25,2,ewma_max,5,0.617059891107078,0.28472044199309904,0.6639166566301337,0.20689655172413793,0.43733333333333335,3.4395797436151905
0.35,surprisal,0.25,2,ewma_max,10,0.631578947368421,0.3210795984152032,0.6731301939058172,0.20689655172413793,0.44077134986225897,3.6440635479073062
0.35,surprisal,0.5,2,max,3,0.5789473684210527,0.3113935063146739,0.6830864346220241,0.20689655172413793,0.4368932038834951,4.258969306945801
0.35,surprisal,0.5,2,max,5,0.5753176043557169,0.3028435571708778,0.6761210807338713,0.20689655172413793,0.4375,4.258969306945801
0.35,surprisal,0.5,2,max,10,0.6279491833030852,0.3075767055962509,0.6761612268657915,0.20689655172413793,0.450402144772118,5.048395156860352
0.35,surprisal,0.5,2,ewma_final,3,0.6007259528130672,0.38525881394821176,0.7220884017824882,0.20689655172413793,0.46078431372549017,0.2891797416704958
0.35,surprisal,0.5,2,ewma_final,5,0.7168784029038112,0.37526256157634247,0.7177124734031876,0.20689655172413793,0.46206896551724136,0.5994219470700417
0.35,surprisal,0.5,2,ewma_final,10,0.6025408348457351,0.3529728191703133,0.70340037737364,0.20689655172413793,0.46454767726161367,0.2891799687648235
0.35,surprisal,0.5,2,ewma_max,3,0.6588021778584392,0.326457632284823,0.6938857441085552,0.20689655172413793,0.4502923976608187,2.26426641218881
0.35,surprisal,0.5,2,ewma_max,5,0.6551724137931034,0.3177730396910766,0.686017102252198,0.20689655172413793,0.4540229885057471,2.3588392661650097
0.35,surprisal,0.5,2,ewma_max,10,0.6569872958257713,0.32417330126921107,0.6866192942310009,0.20689655172413793,0.47058823529411764,2.336459032825343
0.35,surprisal,1.0,2,max,3,0.6606170598911071,0.33922345457228276,0.6968364848046891,0.20689655172413793,0.45161290322580644,3.0026168823242188
0.35,surprisal,1.0,2,max,5,0.6134301270417423,0.34413958980841386,0.6971175077281304,0.20689655172413793,0.44386422976501305,2.5841007232666016
0.35,surprisal,1.0,2,max,10,0.6569872958257713,0.3366263031761275,0.6958328315066843,0.20689655172413793,0.4489795918367347,3.0026168823242188
0.35,surprisal,1.0,2,ewma_final,3,0.5934664246823956,0.41757206143175185,0.7303384318920872,0.20689655172413793,0.45893719806763283,0.14458998438241175
0.35,surprisal,1.0,2,ewma_final,5,0.6406533575317604,0.41403807201997783,0.7301377012324862,0.20689655172413793,0.45901639344262296,0.20720849148403173
0.35,surprisal,1.0,2,ewma_final,10,0.7223230490018149,0.40529466843600265,0.7253201654020636,0.20689655172413793,0.45936395759717313,0.3502271990197525
0.35,surprisal,1.0,2,ewma_max,3,0.6551724137931034,0.36567877145881356,0.7063912642016942,0.20689655172413793,0.4632768361581921,1.2651285029258599
0.35,surprisal,1.0,2,ewma_max,5,0.6497277676950998,0.37016022354172845,0.7089405435786262,0.20689655172413793,0.45938375350140054,1.2651285029258599
