ENTRY_Z,FEATURE,MIN_STD,W,WINDOW,accuracy,ap,auroc,base_rate,f1,threshold
2.0,surprisal,0.5,0.05,5,0.7404718693284936,0.4234010913808173,0.7291942671323618,0.20689655172413793,0.47619047619047616,0.5431064005847324
2.0,surprisal,0.5,0.05,10,0.7295825771324864,0.4220477503000716,0.7284515636918383,0.20689655172413793,0.4659498207885305,0.5319232226023862
2.0,surprisal,0.5,0.1,5,0.73502722323049,0.41616815926850426,0.7284917098237584,0.20689655172413793,0.4748201438848921,0.5875076071311921
2.0,surprisal,0.5,0.1,10,0.7386569872958257,0.41778006257783296,0.7274479103938336,0.20689655172413793,0.4626865671641791,0.6031820330275162
2.0,surprisal,0.5,0.2,5,0.7531760435571688,0.4053042234241145,0.7265446224256293,0.20689655172413793,0.4728682170542636,0.7520731037918384
2.0,surprisal,0.5,0.2,10,0.7622504537205081,0.4071526919330055,0.7255811152595447,0.20689655172413793,0.46963562753036436,0.7534822711784177
2.0,surprisal,0.5,0.5,5,0.6297640653357531,0.385420225410108,0.7200409490545586,0.20689655172413793,0.4631578947368421,0.6259413247763344
2.0,surprisal,0.5,0.5,10,0.6333938294010889,0.3745644506995441,0.7174916696776266,0.20689655172413793,0.45989304812834225,0.6541615029239998
2.0,surprisal,0.5,1.0,5,0.647912885662432,0.372976297321951,0.7151431209602955,0.20689655172413793,0.46408839779005523,1.050997436944304
2.0,surprisal,0.5,1.0,10,0.676950998185118,0.3567502189518872,0.7092817856999478,0.20689655172413793,0.463855421686747,1.2495822069173665
2.0,surprisal,0.5,2.0,5,0.6533575317604355,0.36350409062719546,0.7099843430085512,0.20689655172413793,0.4619718309859155,1.8338762978901435
2.0,surprisal,0.5,2.0,10,0.6569872958257713,0.34478472125746557,0.7029186237905978,0.20689655172413793,0.46458923512747874,1.8394834896482068
