ENTRY_Z,FEATURE,MIN_OBS,MIN_STD,NORM,WEIGHTED,WINDOW,accuracy,ap,auroc,base_rate,f1,threshold
3.0,entropy,5,0.5,none,True,20,0.778584392014519,0.27900905898019746,0.6251254566622506,0.20689655172413793,0.4019607843137255,0.054852239384197254
0.5,entropy,2,0.25,sqrt,False,20,0.7441016333938294,0.4150247366184541,0.7098438315468305,0.20689655172413793,0.4679245283018868,1.9611613513818404
3.0,surprisal,3,1.0,none,True,15,0.6878402903811253,0.29878014821514326,0.6612067927255209,0.20689655172413793,0.44871794871794873,0.0850570213797539
0.5,entropy,2,0.5,len,False,10,0.7186932849364791,0.3728097661442067,0.7167991489020032,0.20689655172413793,0.4709897610921502,0.275
2.0,entropy,3,0.25,none,True,5,0.6678765880217786,0.3486444167310934,0.6918985105785057,0.20689655172413793,0.43343653250773995,4.335173890324963
3.0,entropy,3,0.5,none,True,10,0.7822141560798548,0.2716508330359203,0.6181500662411177,0.20689655172413793,0.3939393939393939,0.13167903321179253
1.0,surprisal,2,0.25,sqrt,True,10,0.5970961887477314,0.32103075300206446,0.6792825886225862,0.20689655172413793,0.445,1.881893895146377
2.5,surprisal,3,0.25,sqrt,False,5,0.6569872958257713,0.38131196385171384,0.7009715363924686,0.20689655172413793,0.4391691394658754,0.4681645887845223
2.0,surprisal,2,0.25,len,False,10,0.4882032667876588,0.2614937340376886,0.6197960576498455,0.20689655172413793,0.3948497854077253,0.06451612903225806
3.0,entropy,2,0.5,none,True,10,0.7822141560798548,0.2715794371610738,0.6173872897346341,0.20689655172413793,0.3939393939393939,0.13167903321179253
1.0,entropy,3,1.0,none,True,20,0.7223230490018149,0.41338980822491933,0.7292845959291823,0.20689655172413793,0.4882943143812709,0.47792394163338203
0.5,entropy,5,0.25,sqrt,True,15,0.6678765880217786,0.382855236989397,0.7117106266811193,0.20689655172413793,0.46017699115044247,1.7957965847354342
3.0,entropy,5,1.0,len,False,10,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
